Operador,Núcleo (nodos),Olvidados,Correctamente identificados,Precisión,Recall,Tasa recuperación olvidados
Degree,8593,4296,8593,0.054784826267134205,1.0,1.0
PageRank,8588,4294,8588,0.05080815012897272,1.0,1.0
