Operador,Tiempo (s),RAM pico (MB),Núcleo (nodos),Centralidad media núcleo
"ORT (Degree, P95)",0.0174,1.07,509,74.3713163064833
PageRank (P95),0.6554,14.71,500,0.0005461445538477279
