Percentil,Nodos en Núcleo,Tasa Recuperación Media,Tasa Recuperación Std
90,283,0.924822695035461,0.013531052502368041
95,147,0.9287671232876711,0.01710958355725589
97,82,0.9585365853658537,0.030947750098657353
99,29,0.9285714285714286,0.03194382824999701
