Operador,Nucleo_nodos,Activacion_media,Activacion_resto,Ratio_nucleo_resto
Degree,5,3.8100622624044314,3.256040027508557,1.170152157287759
Eigenvector,5,3.8100622624044314,3.256040027508557,1.170152157287759
Betweenness,5,3.8383531003991704,3.2546693473731523,1.179337342976825
Clustering,5,4.150948084123753,3.2395242415725427,1.2813449675279427
