Método,Nodos en Núcleo,Recuperación Media,Recuperación Std
ORT (Topológico P95),147,0.419634703196347,0.05094752823058075
Baseline Aleatorio Puro (P95),147,0.05068493150684931,0.0197406085125272
Baseline Estratificado (P95),147,0.20045662100456615,0.04147214869282023
ORT (Topológico P90),286,0.4941724941724942,0.04699152696822062
Baseline Aleatorio Puro (P90),286,0.06456876456876458,0.022673116996786185
Baseline Estratificado (P90),286,0.4769230769230769,0.0509226652667855
