Nodo,Degree
52047,0.061030615
59477,0.060715273
45077,0.060535073
38553,0.05936379
32507,0.056075186
94302,0.05501653
27724,0.054475937
39319,0.054273214
67439,0.05426195
84911,0.054081753
26928,0.052685224
75915,0.051649086
45869,0.05051159
52767,0.050207507
33335,0.049362835
114549,0.049036227
84812,0.0489236
60216,0.048743404
76399,0.048180286
68007,0.04809019
33248,0.04780863
68103,0.047144152
104262,0.047054052
60121,0.04703153
114446,0.046153065
104160,0.04606297
27725,0.046006657
147594,0.045364704
184351,0.04535344
76497,0.045173243
17960,0.04502683
171789,0.044891685
210566,0.0446777
12844,0.04457634
85107,0.044452455
33330,0.044373617
85206,0.044249732
171682,0.04423847
197248,0.044069532
76301,0.043979436
85305,0.043787975
131125,0.043630302
45870,0.04298835
142438,0.042886987
120216,0.04269553
60120,0.042684264
45778,0.04261669
39318,0.04251533
159455,0.04236892
94201,0.042335134
171470,0.042312607
94200,0.042256296
104059,0.042154934
196925,0.04204231
75914,0.04203105
17096,0.041963477
85207,0.041907165
21813,0.041839592
125063,0.041704442
45865,0.04164813
184029,0.041569293
159456,0.041332785
84910,0.0411188
52768,0.040893555
197356,0.040814716
147489,0.040803455
135672,0.04078093
178634,0.04078093
109735,0.04072462
171576,0.040645782
76011,0.040611997
210135,0.04053316
136190,0.040420536
104161,0.040082667
99696,0.03997004
183924,0.039801106
17028,0.03976732
45777,0.03967722
171364,0.0396547
125168,0.039643433
94100,0.039598387
21741,0.039553337
166206,0.039508287
147176,0.039316826
33334,0.039294302
85008,0.039294302
184136,0.03918168
84811,0.039170418
84912,0.03914789
159140,0.03910284
27719,0.03904653
184243,0.038866334
76010,0.038731184
154145,0.03852846
147279,0.0385172
197032,0.0385172
197139,0.0385172
94403,0.038505938
33249,0.03847215
197357,0.038449626
125272,0.038393315
159139,0.038337003
135982,0.038291954
124451,0.038190592
114343,0.038145542
159035,0.03813428
103957,0.038010396
191809,0.037954085
39403,0.03794282
171681,0.037931558
125273,0.03778515
166404,0.037773885
192025,0.037672523
136086,0.03765
179160,0.03763874
205125,0.037627477
68104,0.0375599
114240,0.037469804
204355,0.037368443
196820,0.037334654
210242,0.037334654
188516,0.037323393
147280,0.037300866
52674,0.037289605
124755,0.03726708
147490,0.03725582
76204,0.037244555
17095,0.03722203
184350,0.03717698
188515,0.037143193
210567,0.03703057
94000,0.037008047
17961,0.036962997
76107,0.036962997
94301,0.036962997
175810,0.036917947
22649,0.036861636
197031,0.03682785
210348,0.03682785
188514,0.036816586
175811,0.0367828
154443,0.036715224
205126,0.036658913
21742,0.03663639
147385,0.036557555
109736,0.03654629
76106,0.036512505
159244,0.036512505
52857,0.036467455
210241,0.03644493
135775,0.036411144
210456,0.036388617
205233,0.03625347
191268,0.036230944
60212,0.036050748
124552,0.036039487
147384,0.036039487
139885,0.035926864
84712,0.035904337
135570,0.035881814
159245,0.03576919
159350,0.03576919
205016,0.035746664
13722,0.03572414
154338,0.03567909
191382,0.035600256
67910,0.035555206
136399,0.035555206
84713,0.035521418
76203,0.035510156
171575,0.035510156
183923,0.035453845
184030,0.035431318
68196,0.035397533
124351,0.035352483
76012,0.03534122
151533,0.035296172
135673,0.03528491
135878,0.035251122
103365,0.035217334
107432,0.035217334
147177,0.03519481
103657,0.03518355
124653,0.0351385
52861,0.03509345
84909,0.03509345
135776,0.035070926
27640,0.0350484
39314,0.03500335
205232,0.034992088
22650,0.034947038
196926,0.034947038
113738,0.034924515
113739,0.034879465
154124,0.034834415
191918,0.034823153
139884,0.034778103
154231,0.03469927
179053,0.03466548
124857,0.034631692
139883,0.034631692
183815,0.03460917
120215,0.034541596
99789,0.03451907
159349,0.03447402
135879,0.034462757
210029,0.034451496
201554,0.034440234
171469,0.034428973
183819,0.034417707
191919,0.034406446
117858,0.034395184
159036,0.034338873
171259,0.034316346
33331,0.034293823
171255,0.03428256
210457,0.03428256
124452,0.034260035
179054,0.034248773
196819,0.034203723
27803,0.0341812
178835,0.03416994
76398,0.03410236
136085,0.0340911
33247,0.03407984
201555,0.03404605
210136,0.034012266
117860,0.033955954
113937,0.033922166
166617,0.033910904
93803,0.033899643
52856,0.033854593
179162,0.033854593
205127,0.033854593
205234,0.033854593
124960,0.03384333
179055,0.03384333
45499,0.033832066
151531,0.033832066
166511,0.033820804
178945,0.033820804
114139,0.03370818
210028,0.033573035
171897,0.03356177
175812,0.03356177
192027,0.03350546
204904,0.033437885
151532,0.033381574
93901,0.03325769
114037,0.03317885
27723,0.0331338
39230,0.03303244
103856,0.032908555
17959,0.032897294
142201,0.032886032
183814,0.032886032
33423,0.032874767
84614,0.032874767
191699,0.03277341
94001,0.032717094
124553,0.032705832
107433,0.03269457
142522,0.032660782
178946,0.03264952
76302,0.03263826
154445,0.03260447
166619,0.03260447
52763,0.032581948
136295,0.032570686
142311,0.032559425
188517,0.032559425
128626,0.032413013
147073,0.032413013
192026,0.03240175
103757,0.032390486
85698,0.03234544
88026,0.032322913
158928,0.032322913
154146,0.03231165
45961,0.03230039
93705,0.03230039
142417,0.03230039
151534,0.032266602
27810,0.03219903
188513,0.032187767
171365,0.03212019
196924,0.03207514
60211,0.03206388
166618,0.032041356
196714,0.03201883
178521,0.031962518
85108,0.031928733
113640,0.031928733
113639,0.03191747
113838,0.031894945
135571,0.031838633
38959,0.03177106
139971,0.0317598
142092,0.03173727
93514,0.03172601
117861,0.03169222
179161,0.03168096
197140,0.03168096
151529,0.03164717
103270,0.03162465
26927,0.031613387
201556,0.031613387
60025,0.031602126
68098,0.031602126
142094,0.03159086
68006,0.031545814
94101,0.031545814
88027,0.031433187
117859,0.031433187
76590,0.031410664
84324,0.031275515
103462,0.031275515
124654,0.03124173
205124,0.031162893
166295,0.03115163
113837,0.031140368
135466,0.031140368
171363,0.031140368
171790,0.031117843
76595,0.031084057
204356,0.031084057
88028,0.031039007
142203,0.03100522
154444,0.030982696
139886,0.030948909
191920,0.03091512
60307,0.030847548
55166,0.030813761
85404,0.030768711
196710,0.030757448
201553,0.030757448
22568,0.030746186
70580,0.030734925
197465,0.030656088
196815,0.030611038
27718,0.030565988
103461,0.030532202
76688,0.030442104
104263,0.030397054
17029,0.030385792
141985,0.030385792
201552,0.030340742
52481,0.030306956
93900,0.030306956
142416,0.03028443
163531,0.03028443
72289,0.030273167
90107,0.030250642
209918,0.03023938
205015,0.03022812
60215,0.030171808
79004,0.030171808
52480,0.030160544
113542,0.030047921
79087,0.030025396
166205,0.030002872
128799,0.02999161
135983,0.029980347
147070,0.029980347
184566,0.029969085
93420,0.02994656
166512,0.029935298
27720,0.029924035
39404,0.029924035
103559,0.029924035
84615,0.029845199
163441,0.029811412
154340,0.029777626
79003,0.0297551
154339,0.0297551
52673,0.029687526
45773,0.029676264
114138,0.029631214
146967,0.029631214
68201,0.029619953
128712,0.029619953
103756,0.029574903
124959,0.029574903
139882,0.029552378
84420,0.02950733
85603,0.029439755
107434,0.029439755
184242,0.029439755
209919,0.029428493
128798,0.029394705
76009,0.029383443
97541,0.029383443
85009,0.029360918
88025,0.029360918
93327,0.029360918
196814,0.029349657
27804,0.029338393
210134,0.029327132
196709,0.029304607
22648,0.029293345
142628,0.029293345
151530,0.02927082
79005,0.029214509
76300,0.029169459
184137,0.029169459
76694,0.029135672
179163,0.029124409
103360,0.029101884
154015,0.029101884
84516,0.02907936
95097,0.02907936
70660,0.029011786
13808,0.028989261
52574,0.028978
163536,0.028978
39408,0.028966736
184458,0.028944211
52862,0.028876638
131105,0.028876638
183818,0.028854113
104966,0.028831588
210676,0.028820327
142309,0.028809063
142521,0.028775277
210023,0.028775277
128625,0.028764015
131207,0.028764015
136505,0.028752752
171258,0.028752752
154446,0.02874149
55243,0.028730227
85106,0.028730227
93608,0.028718965
84517,0.02869644
184028,0.028640129
103266,0.028595079
142310,0.028583817
175809,0.028583817
171254,0.028572556
